# Segments csv created Sun Mar  5 10:54:31 2017
# num_ytids=22160, num_segs=22160, num_unique_labels=527, num_positive_labels=52882
# YTID, start_seconds, end_seconds, positive_labels
15z-gbPxdXg, 30.000, 40.000, "/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y"
17MZTRQd5E0, 50.000, 60.000, "/m/015lz1,/m/04rlf,/m/0z9c"
19Pp9QEw17U, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/09x0r,/m/0fx80y"
1C6VhOCffIE, 60.000, 70.000, "/m/0342h,/m/03lty,/m/04szw,/m/07m2kt,/m/0dl5d"
1Ccis4FDGwY, 20.000, 30.000, "/m/01b9nn,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
1JbzuVEv3Sw, 60.000, 70.000, "/m/02rr_,/m/04rlf,/m/04szw,/m/07m2kt,/m/09x0r,/t/dd00125"
1JrX-h4KTOI, 40.000, 50.000, "/m/015lz1,/m/016cjb,/m/028sqc,/m/04rlf,/m/074ft"
1JwoLPCIGhs, 30.000, 40.000, "/m/02sgy,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
1MvzeSDi10M, 130.000, 140.000, "/m/015lz1,/m/07sr1lc"
1SO5RJLWKAs, 30.000, 40.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
1T9Uh6OHmuU, 30.000, 40.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
1YP9IHRngcE, 30.000, 40.000, "/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
1ZkHnqQt9KI, 320.000, 330.000, "/m/015lz1,/m/04rlf,/m/07p6fty"
1jATjKL2vAE, 10.000, 20.000, "/m/01glhc,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
1o7iTDLNTFk, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/09x0r,/m/0fx80y"
1oCHQamtZNU, 460.000, 470.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07s8j8t,/m/07sbbz2,/m/09x0r,/m/0fx80y"
1wqkBBMHJA8, 230.000, 240.000, "/m/015lz1,/m/07sr1lc"
2-K-7T8ZIWA, 20.000, 30.000, "/m/04rlf,/m/04szw,/m/07kc_"
22TORh50_7I, 300.000, 310.000, "/m/015lz1,/m/04rlf,/m/0xzly"
26HLgXWF-Co, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
28TFewwamK8, 460.000, 470.000, "/m/015vgc,/m/028sqc,/m/04rlf,/m/04szw,/m/0ggq0m"
2BBAUwC1BI4, 70.000, 80.000, "/m/018vs,/m/01glhc,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
2K61zdPjAi8, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
2YoFw4RhZT8, 50.000, 60.000, "/m/015lz1,/m/04rlf,/m/05r6t"
2cdwvFefE_g, 170.000, 180.000, "/m/015lz1,/m/0dq0md"
2gc1L3g1itU, 20.000, 30.000, "/m/0155w,/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c"
2iFgXSXdqLo, 30.000, 40.000, "/m/018vs,/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
2pTnwe3DzCs, 150.000, 160.000, "/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c,/m/09x0r,/m/0b_fwt,/t/dd00125"
2tFq2xVrceY, 250.000, 260.000, "/m/015lz1,/m/015vgc,/m/04rlf"
2wZCoeq9Ppc, 80.000, 90.000, "/m/01kcd,/m/01wy6,/m/02cjck,/m/04rlf,/m/04szw,/m/085jw,/m/0l14j_"
2x9735gU01s, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
2xATintzaj4, 60.000, 70.000, "/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07m2kt,/m/0fx80y"
2xfcPqA3dlU, 130.000, 140.000, "/m/015lz1,/m/015vgc,/m/04rlf"
2zo5z1I0CeM, 150.000, 160.000, "/m/015lz1,/m/04rlf,/m/0l14jd"
33LJ36nAozM, 30.000, 40.000, "/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/09x0r,/m/0fx80y"
33U99DokD_U, 30.000, 40.000, "/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
35VpoWXIk4A, 210.000, 220.000, "/m/04rlf,/m/04szw,/m/0jtg0"
3C5qHj5WW1E, 30.000, 40.000, "/m/01lsmm,/m/04rlf,/m/07k1x,/m/09x0r"
3Gjt5oUIvyc, 210.000, 220.000, "/m/01b82r,/m/07k1x,/m/07pdjhy,/m/083vt"
3H2j5fLSY9o, 10.000, 20.000, "/m/015lz1,/m/0z9c"
3KQy3Cajo4E, 150.000, 160.000, "/m/02mscn,/m/04rlf,/m/04szw"
3OLeJZF4oI0, 290.000, 300.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/09x0r,/m/0fx80y"
3gdwvnKibpg, 210.000, 220.000, "/m/015lz1,/m/04rlf,/m/0dq0md"
3jLef5eHgzU, 30.000, 40.000, "/m/0155w,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y"
3m-a805cVl0, 80.000, 90.000, "/m/0342h,/m/04rlf,/m/04szw,/m/0b_fwt,/m/0fx80y,/t/dd00125"
3noh9LiQNrs, 190.000, 200.000, "/m/0342h,/m/04rlf,/m/04szw,/m/09x0r,/m/0b_fwt,/m/0fx80y,/t/dd00125"
3u9OO9Og0Gc, 50.000, 60.000, "/m/015lz1,/m/02mscn,/m/04rlf"
3vEsFxolnFs, 100.000, 110.000, "/m/018j2,/m/0342h,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"
3w3fD54bNvU, 30.000, 40.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
3w_LsKl-3Pk, 30.000, 40.000, "/m/01wy6,/m/02p0sh1,/m/04rlf,/m/04szw,/m/085jw"
3zVgCg1-xy0, 250.000, 260.000, "/m/015lz1,/m/04rlf,/m/07q4ntr,/m/07sr1lc,/t/dd00126,/t/dd00127"
40i3_JH6FYw, 90.000, 100.000, "/m/01b9nn,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0g12c5,/m/0l14_3"
4CcmjU0JQzE, 300.000, 310.000, "/m/015lz1,/m/016cjb,/m/04rlf"
4Gow6qZcNZI, 390.000, 400.000, "/m/018vs,/m/0342h,/m/04rlf,/m/04szw,/m/09x0r,/m/0b_fwt,/m/0fx80y"
4H1nc2Xv2Hg, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
4LZSSya3ZZQ, 30.000, 40.000, "/m/018vs,/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/09x0r,/m/0fx80y"
4M0njWKFsME, 30.000, 40.000, "/m/02sgy,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
4M_k01zIbVM, 30.000, 40.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
4NyAHtm14AI, 150.000, 160.000, "/m/015lz1,/m/04rlf,/m/06bxc"
4P4ZlKN3DUg, 30.000, 40.000, "/m/0155w,/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
4R4QClrYLW4, 10.000, 20.000, "/m/018j2,/m/04rlf,/m/04szw,/m/0fx80y"
4YPFwRcCAv4, 70.000, 80.000, "/m/018j2,/m/0342h,/m/04rlf,/m/04rzd,/m/04szw"
4bXb6GLm6zg, 30.000, 40.000, "/m/0155w,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
4cIEfRZQXEo, 50.000, 60.000, "/m/015lz1,/m/04rlf,/t/dd00004"
4cg3MsrvJqw, 210.000, 220.000, "/m/04rlf,/m/04szw,/m/04wptg,/m/0l14_3"
4j-gAf-RJOU, 30.000, 40.000, "/m/03l9g,/m/07k1x"
4ls_8xIjBzM, 150.000, 160.000, "/m/01glhc,/m/0342h,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"
4m5SyH65GI8, 10.000, 20.000, "/m/01j4z9,/m/07k1x"
4ueN2gGsH5Y, 0.000, 10.000, "/m/0342h,/m/04rlf,/m/04rzd,/m/04szw,/m/0fx80y"
4vGLTrW04UE, 250.000, 260.000, "/m/04rlf,/m/04szw,/m/05pd6,/m/07y_7,/m/0ggq0m,/m/0l14_3,/m/0l14j_"
52odOK7G2kg, 120.000, 130.000, "/m/01glhc,/m/0342h,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"
5CuiNWUdq7s, 70.000, 80.000, "/m/015lz1,/m/0326g,/m/04rlf"
5JPq68Fdqv0, 0.000, 10.000, "/m/015lz1,/m/025_jnm,/m/04rlf,/m/09x0r"
5JRvGMTjEzQ, 30.000, 40.000, "/m/018vs,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
5Y9HtEEOBBU, 70.000, 80.000, "/m/015lz1,/m/04rlf,/m/074ft,/m/0z9c"
5Z3DCiwxhGM, 200.000, 210.000, "/m/01j4z9,/m/07k1x,/m/09x0r"
5ZX9Ig7XXsw, 170.000, 180.000, "/m/015lz1,/m/04rlf,/m/04szw,/m/0gywn"
5eRZRQ8_bkg, 30.000, 40.000, "/m/015lz1,/m/05lls"
5hEt87nd7os, 50.000, 60.000, "/m/018j2,/m/01lyv,/m/04rlf,/m/04szw,/m/0fx80y"
5m-a00sSkzY, 180.000, 190.000, "/m/015lz1,/m/04rlf,/m/05w3f"
5pIdH6p3kuo, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/t/dd00005"
5tRNPTLRZqI, 40.000, 50.000, "/m/04rlf,/m/04szw,/m/0ggq0m,/m/0l156b"
5xBfKiQcMZQ, 100.000, 110.000, "/m/015lz1,/m/04rlf,/m/06rqw"
5y2M_K3bUcQ, 20.000, 30.000, "/m/02bxd,/m/04rlf,/m/04szw"
62L5kn1qFeY, 150.000, 160.000, "/m/015lz1,/m/0342h,/m/04rlf,/m/04rzd,/m/04szw,/m/07xzm,/m/0fx80y"
63vq0dyyOGc, 40.000, 50.000, "/m/015lz1,/m/04rlf,/m/07q4ntr,/t/dd00126"
669Fk7afszw, 10.000, 20.000, "/m/018j2,/m/01lyv,/m/0342h,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y,/m/0gg8l"
6807299U5eg, 490.000, 500.000, "/m/015lz1,/m/015vgc,/m/028sqc,/m/04rlf"
6C0HoQe4Y-Y, 160.000, 170.000, "/m/015lz1,/m/04rlf,/m/04szw,/m/0y4f8"
6EMOL2FQLkk, 320.000, 330.000, "/m/01d380,/m/07k1x,/m/0_ksk"
6HQqly6duac, 210.000, 220.000, "/m/012xff,/m/04rlf,/m/04szw,/m/0l14md"
6II4JGJDyZo, 310.000, 320.000, "/m/015lz1,/m/028sqc,/m/04rlf,/m/064t9,/m/07q7njn"
6LLTLAVy6L4, 30.000, 40.000, "/m/039jq,/m/04rlf,/m/04szw,/m/07q7njn"
6OVb3rjcB3Q, 570.000, 580.000, "/m/01jnbd,/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/06by7,/m/0fx80y"
6QAZJ4H_5rA, 50.000, 60.000, "/m/01b9nn,/m/01jnbd,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/07m2kt,/m/0fx80y,/m/0g12c5"
6QHfXuVLhe0, 170.000, 180.000, "/m/015lz1,/m/02mscn,/m/04rlf"
6Si3eGkmmy8, 410.000, 420.000, "/m/015lz1,/m/026t6,/m/04rlf,/m/0l14md,/m/0xzly"
6Sx8lqm2Lw0, 20.000, 30.000, "/m/015lz1,/m/04rlf,/m/0b_fwt"
6aVDXoU2j2M, 440.000, 450.000, "/m/015lz1,/m/04rlf,/m/07rwj3x,/m/07sr1lc"
6cQbxwbBqqI, 260.000, 270.000, "/m/04rlf,/m/04szw,/m/07xzm,/m/09x0r,/m/0fx80y"
6eOcgtRy4Vw, 410.000, 420.000, "/m/015lz1,/m/04rlf,/m/07q4ntr"
6h-AybJcyAs, 30.000, 40.000, "/m/015lz1,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0xzly"
6iyinlZEgS4, 40.000, 50.000, "/m/02lkt,/m/03wwcy,/m/04rlf,/m/04szw,/m/07r67yg,/m/09x0r"
6k6tF0s0lNs, 260.000, 270.000, "/m/01b9nn,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
6o6DsSnbpxE, 60.000, 70.000, "/m/015lz1,/m/04rlf,/m/06cqb"
6oUbMSx8QQE, 50.000, 60.000, "/m/015lz1,/m/016cjb,/m/04rlf"
6uLtyzRgmyI, 170.000, 180.000, "/m/015lz1,/m/02sgy"
6xxu6f0f0e4, 60.000, 70.000, "/m/015lz1,/m/02mscn,/m/04rlf,/m/06bxc,/m/074ft,/m/0glt670"
794cfJsgAsY, 20.000, 30.000, "/m/015lz1,/m/0326g,/m/04rzd"
7C53GfbWiv0, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
7ITwarmdyfI, 0.000, 10.000, "/m/018j2,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y"
7IndxxjZe1c, 70.000, 80.000, "/m/015lz1,/m/0342h,/m/04rlf,/m/04szw,/m/06rqw,/m/0fx80y"
7JMN4DdhwsM, 10.000, 20.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07xzm,/m/0fx80y"
7Mv4eKPe850, 110.000, 120.000, "/m/015lz1,/m/04rlf,/m/06by7,/m/07s8j8t"
7NF2kcEfMBI, 420.000, 430.000, "/m/0342h,/m/04rlf,/m/04szw,/m/09x0r,/m/0b_fwt,/m/0fx80y,/t/dd00125"
7WR-hMV2RKs, 170.000, 180.000, "/m/026t6,/m/04rlf,/m/04szw,/m/0l14md,/m/0l156b"
7YAS-Qo_sjI, 0.000, 10.000, "/m/015lz1,/m/025_jnm,/m/09x0r"
7ZW8xO37bA4, 10.000, 20.000, "/m/01glhc,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0g12c5"
7cvqeU9Wh-I, 10.000, 20.000, "/m/015lz1,/m/02v2lh,/m/04rlf"
7k3M0pQvzhY, 200.000, 210.000, "/m/02bxd,/m/04rlf,/m/04szw,/m/09x0r"
7uKkUTml-DA, 260.000, 270.000, "/m/015lz1,/m/015vgc,/m/01p970,/m/04rlf,/m/0ggq0m"
7xD_Ib3VS_w, 30.000, 40.000, "/m/018vs,/m/01jnbd,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y"
83rxTYKA3Eo, 10.000, 20.000, "/m/015lz1,/m/0z9c"
88GlJOx-Lns, 140.000, 150.000, "/m/015lz1,/m/04rlf,/m/07rkbfh,/m/09x0r,/t/dd00127"
89eBh_Djflw, 240.000, 250.000, "/m/015lz1,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/07m2kt,/m/0fx80y,/t/dd00125"
8Bu8CkR1xZY, 270.000, 280.000, "/m/01glhc,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"
8MbxazeMw2E, 430.000, 440.000, "/m/02w4v,/m/04rlf,/m/04szw,/m/05r5wn,/m/0l14md"
8Nq4xkSOyno, 20.000, 30.000, "/m/0155w,/m/018vs,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
8O9KQrHzzlA, 100.000, 110.000, "/m/02hnl,/m/0342h,/m/04rlf,/m/04szw,/t/dd00004"
8PcfPX11Hjg, 230.000, 240.000, "/m/015lz1,/m/04rlf,/m/0l14jd,/t/dd00034"
8UhdwnsckJ8, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/09x0r,/m/0fx80y"
8WPG0dD20lg, 540.000, 550.000, "/m/01b9nn,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
8XIsw5VBfLk, 240.000, 250.000, "/m/015lz1,/m/04rlf,/m/07q4ntr,/m/09x0r,/t/dd00126"
8kGi5lkxZWc, 90.000, 100.000, "/m/0155w,/m/01glhc,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"
8mix3gmzPa0, 130.000, 140.000, "/m/015lz1,/m/07sbbz2"
8q0An6WY7_c, 10.000, 20.000, "/m/04rlf,/m/04szw,/m/07kc_"
8tbm8V9vyMk, 120.000, 130.000, "/m/039jq,/m/07k1x,/m/09x0r"
8wIUhbLvkrA, 10.000, 20.000, "/m/015lz1,/t/dd00005"
8wMzUIkaZ-I, 510.000, 520.000, "/m/01jnbd,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw"
91FtvAfmI6s, 540.000, 550.000, "/m/028sqc,/m/04rlf,/m/04szw,/m/0jtg0"
9ITN8PpNWrs, 40.000, 50.000, "/m/015lz1,/m/03r5q_,/m/04rlf"
9IVYGuEjmX8, 100.000, 110.000, "/m/04rlf,/m/04szw,/m/0l156b"
9JMbARk-xd0, 100.000, 110.000, "/m/015lz1,/m/0z9c"
9JlifkCmUOk, 290.000, 300.000, "/m/015lz1,/m/04rlf,/m/06by7,/m/07s8j8t,/m/07sbbz2"
9LDw8ke99oA, 70.000, 80.000, "/m/015lz1,/m/04rlf,/m/07sr1lc"
9Qle4fgMbzk, 0.000, 10.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0b_fwt,/m/0fx80y"
9YG2BVRepYQ, 30.000, 40.000, "/m/04rlf,/m/04szw,/m/0l156b"
9ZHb9uNGdhE, 90.000, 100.000, "/m/015lz1,/t/dd00005"
9bXaY5f8Ok0, 210.000, 220.000, "/m/015lz1,/m/04rlf,/m/06rqw"
9cOXbQSEQ0M, 40.000, 50.000, "/m/015lz1,/m/04rlf,/m/05lls"
9gPyrJzct_Q, 270.000, 280.000, "/m/07k1x,/m/09x0r,/t/dd00065"
9pprRV_MQJo, 180.000, 190.000, "/m/015lz1,/m/04rlf,/m/07s8j8t"
9urECCI7_EI, 80.000, 90.000, "/m/04rlf,/m/04szw,/m/07kc_"
9x7jWb4lE7c, 220.000, 230.000, "/m/0342h,/m/04rlf,/m/04szw,/m/0b_fwt,/m/0fx80y,/t/dd00125"
9ziKfjHWqZ0, 40.000, 50.000, "/m/015lz1,/m/016cjb,/m/02mscn,/m/0l14jd,/m/0y4f8,/m/0z9c"
A2WdjyKQ57A, 130.000, 140.000, "/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c,/m/0ggq0m"
A8CJ4YSsUgs, 200.000, 210.000, "/m/015lz1,/m/018j2,/m/04rlf,/m/04rzd,/m/064t9"
AB3JPnLZ_Q8, 10.000, 20.000, "/m/015lz1,/m/07rkbfh"
ABHBmupT2ok, 30.000, 40.000, "/m/04rlf,/m/04szw,/m/07s0s5r"
ABVYSaLu_VM, 10.000, 20.000, "/m/01s0ps,/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c,/m/0b_fwt,/t/dd00125"
ACF0RvXLuWg, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/09x0r,/m/0fx80y"
AH00J1t0A2o, 310.000, 320.000, "/m/015lz1,/m/04rlf,/m/07p6fty,/m/09x0r,/t/dd00126,/t/dd00127"
AJTU5RhF3S4, 550.000, 560.000, "/m/02p0sh1,/m/04rlf,/m/04szw,/m/0mkg"
AV18vFmDXPM, 140.000, 150.000, "/m/0342h,/m/03lty,/m/04rlf,/m/04szw,/m/0fx80y"
AVogdV8khxc, 30.000, 40.000, "/m/015lz1,/m/016cjb,/m/04rlf,/m/074ft,/m/0l14jd"
AWvNyjg1xdM, 30.000, 40.000, "/m/015lz1,/m/018j2,/m/04rlf,/m/0gg8l"
AXrCD5KNLxQ, 30.000, 40.000, "/m/015lz1,/m/04rlf,/m/05lls"
AY_yCk4eTTI, 60.000, 70.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0b_fwt,/m/0fx80y,/t/dd00125"
Aa8lvl6b-iM, 120.000, 130.000, "/m/015lz1,/m/04rlf,/m/07p6fty,/t/dd00128"
AaajkQEU3A0, 130.000, 140.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07xzm,/m/0fx80y"
AagemOzvoZE, 30.000, 40.000, "/m/015lz1,/m/01lyv,/m/04rlf"
AazEalrc1nE, 30.000, 40.000, "/m/015lz1,/m/04rlf,/m/064t9,/m/06j6l"
AcYmsXCjF0k, 30.000, 40.000, "/m/015lz1,/m/04rlf,/m/05lls"
AiGGDpbgp6I, 140.000, 150.000, "/m/01b9nn,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
AnSgRexnP64, 30.000, 40.000, "/m/015lz1,/m/04rlf,/m/05lls"
AuwwPMrH5sE, 170.000, 180.000, "/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07pt_g0,/m/0fx80y"
AwgJLNHUViU, 60.000, 70.000, "/m/015lz1,/m/04rlf,/m/05r5c,/m/0ggq0m"
AzGtPHlrlzU, 70.000, 80.000, "/m/015lz1,/m/01hgjl,/m/04rlf"
B4KIQtk7fT4, 230.000, 240.000, "/m/01wy6,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0l14qv"
B77LXsUegag, 30.000, 40.000, "/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0b_fwt,/m/0cfdd"
BBSApRvkaqY, 210.000, 220.000, "/m/02bxd,/m/04rlf,/m/04szw"
BFOkpi3oZBI, 6.000, 16.000, "/m/01glhc,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"
BLfF6L301UY, 30.000, 40.000, "/m/015lz1,/m/01swy6,/m/04rlf"
BO99j_lS9Rc, 340.000, 350.000, "/m/015lz1,/m/04rlf,/m/05w3f"
BTxwsd0wOMg, 70.000, 80.000, "/m/01j4z9,/m/07k1x,/m/0_ksk"
BWP4MGoC1SI, 1.000, 11.000, "/m/01d380,/m/07k1x,/m/0_ksk"
BZPczXuL4Bs, 30.000, 40.000, "/m/015lz1,/m/0342h,/m/04rlf,/m/04rzd,/m/04szw,/m/0fx80y"
B_DkmRilXyU, 30.000, 40.000, "/m/03l9g,/m/07k1x"
